# packages in environment at C:\Users\joems\miniconda3:
#
# Name                    Version                   Build  Channel
anaconda-anon-usage       0.4.4           py312hfc23b7f_100  
anaconda-client           1.12.3          py312haa95532_0  
anaconda-cloud-auth       0.5.1           py312haa95532_0  
anaconda-navigator        2.6.3           py312haa95532_0  
annotated-types           0.6.0           py312haa95532_0  
archspec                  0.2.3              pyhd3eb1b0_0  
attrs                     24.2.0          py312haa95532_0  
boltons                   23.0.0          py312haa95532_0  
brotli-python             1.0.9           py312hd77b12b_8  
bzip2                     1.0.8                h2bbff1b_6  
ca-certificates           2024.9.24            haa95532_0  
certifi                   2024.8.30       py312haa95532_0  
cffi                      1.16.0          py312h2bbff1b_1  
chardet                   4.0.0           py312haa95532_1003  
charset-normalizer        3.3.2              pyhd3eb1b0_0  
click                     8.1.7           py312haa95532_0  
colorama                  0.4.6           py312haa95532_0  
conda                     24.9.2          py312haa95532_0  
conda-content-trust       0.2.0           py312haa95532_1  
conda-libmamba-solver     24.7.0             pyhd3eb1b0_0  
conda-package-handling    2.3.0           py312haa95532_0  
conda-package-streaming   0.10.0          py312haa95532_0  
conda-repo-cli            1.0.114         py312haa95532_0  
conda-token               0.5.0              pyhd3eb1b0_0  
console_shortcut_miniconda 0.1.1                haa95532_2  
cryptography              42.0.5          py312h89fc84f_1  
defusedxml                0.7.1              pyhd3eb1b0_0  
distro                    1.9.0           py312haa95532_0  
expat                     2.6.2                hd77b12b_0  
fmt                       9.1.0                h6d14046_1  
freetype                  2.12.1               ha860e81_0  
frozendict                2.4.2           py312haa95532_0  
icu                       73.1                 h6c2663c_0  
idna                      3.7             py312haa95532_0  
jaraco.classes            3.2.1              pyhd3eb1b0_0  
jpeg                      9e                   h827c3e9_3  
jsonpatch                 1.33            py312haa95532_1  
jsonpointer               2.1                pyhd3eb1b0_0  
jsonschema                4.23.0          py312haa95532_0  
jsonschema-specifications 2023.7.1        py312haa95532_0  
jupyter_core              5.7.2           py312haa95532_0  
keyring                   24.3.1          py312haa95532_0  
krb5                      1.20.1               h5b6d351_0  
lcms2                     2.12                 h83e58a3_0  
lerc                      3.0                  hd77b12b_0  
libarchive                3.6.2                h9243413_4  
libclang                  14.0.6          default_hb5a9fac_1  
libclang13                14.0.6          default_h8e68704_1  
libcurl                   8.7.1                h86230a5_0  
libdeflate                1.17                 h2bbff1b_1  
libffi                    3.4.4                hd77b12b_1  
libiconv                  1.16                 h2bbff1b_3  
libmamba                  1.5.8                h99b1521_2  
libmambapy                1.5.8           py312h77c03ed_2  
libpng                    1.6.39               h8cc25b3_0  
libpq                     12.17                h906ac69_0  
libsolv                   0.7.24               h23ce68f_1  
libssh2                   1.11.0               h291bd65_0  
libtiff                   4.5.1                hd77b12b_0  
